"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"nico collins",191772,"Other",0.476,0.799,4,-4.939,0,0.212,0.0162,0,0.257,0.577,162.139,191948,4
"other",1806234,"Classical",0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,112.241,150827,4
"other",145610,"Glitchcore",0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,145611,4
"other",25058,"Other",0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,89509,4
"other",5504949,"Rock",0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400,4
"other",2237969,"Alternative",0.645,0.611,8,-5.925,0,0.137,0.29,2.05e-05,0.237,0.645,157.475,144468,3
"other",441335,"Other",0.663,0.904,7,-4.71,1,0.0857,0.000708,0.289,0.341,0.675,118.024,217627,4
"other",120005,"Hip Hop",0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
"other",107407,"Edm",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4
"other",21354,"Hip Hop",0.742,0.675,8,-6.551,1,0.0907,0.139,0,0.167,0.679,145.989,108493,4
"colours in the dark",516640,"Lo-Fi",0.62,0.122,2,-19.47,0,0.0428,0.967,0.963,0.0726,0.0502,72.019,129160,3
"other",339561,"Contemporary Country",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
"mj apanay",58017,"R&b",0.611,0.256,8,-11.29,1,0.0733,0.899,0.00497,0.125,0.585,123.535,58018,4
"chris james",2531305,"Pop",0.83,0.414,3,-7.387,1,0.148,0.497,0,0.187,0.797,87.99,133125,4
"other",115125,"Other",0.806,0.945,8,-1.382,1,0.0486,0.0243,0.837,0.267,0.341,119.992,115125,4
"other",795611,"Pop",0.459,0.214,5,-10.66,1,0.0403,0.634,0,0.125,0.397,163.816,179013,4
"other",3248068,"Alternative",0.639,0.724,7,-6.346,1,0.0664,0.452,0,0.159,0.522,129.712,209538,3
"josh golden",3799565,"Pop",0.652,0.713,6,-8.331,0,0.105,0.413,0.0048,0.265,0.692,156.031,187885,4
"other",280765,"Lo-Fi",0.78,0.24,11,-12.996,1,0.0711,0.373,0.0141,0.452,0.171,140.502,209493,4
